Year,00-03,03-06,06-09,09-12,12-15,15-18,18-21,21-24
2005,28387,34642,47728,62915,56814,63565,57039,39288
2006,30236,35344,46807,59135,56823,62023,60584,43480
2007,32442,35827,48604,62878,61361,65815,64203,47527
2008,31092,34726,49001,61367,61767,66811,64365,46726
2009,28984,34799,48671,64191,61639,68835,63973,50536
2010,29129,37693,52199,64864,62432,68879,69282,46176
2011,29483,37219,52139,67063,66082,73001,70250,44886
2012,27905,34134,52001,67229,64999,73672,73070,47032
2013,28332,35385,52771,67224,65974,73141,74411,45763
2014,26068,32554,52279,69042,68918,77830,76334,47873
2015,32127,37771,55815,73348,73917,76141,70341,45214
2016,26692,32051,54793,72229,71536,81571,84667,49511
2017,23784,28781,52614,67544,69156,78079,80567,45205
2018,24643,27622,49428,66254,67809,77229,84940,47589
2019,23685,26869,48517,64832,66720,75963,83097,47713
2020,18548,20683,38462,53310,54813,62927,70183,35870
2021,20053,23799,43117,59609,62587,71711,81410,40830
2022,23688,25680,47793,64473,66756,77514,90663,50201