Year,Heavy,Bus,Car,3-Wheeler,2-Wheeler,Bicycles,Pedestrian,Others
2005,29049,12241,16095,4799,16109,2923,8762,8276
2006,29507,12625,18650,5885,18833,2907,8906,8412
2007,30673,12864,19604,6478,21872,3105,10125,9869
2008,31416,12551,19822,6545,23552,3496,10324,10533
2009,32561,12821,21502,6616,26219,3267,11109,12801
2010,35228,13003,22228,7250,28234,3224,12142,12629
2011,35141,12501,22845,6792,30624,3134,12400,13397
2012,34563,13076,23383,6737,32318,3069,11571,14374
2013,32219,12055,23399,6492,34187,2587,12385,14099
2014,32703,12456,23480,7184,37316,1208,6690,20489
2015,35006,12408,24272,6915,43540,1248,7088,18230
2016,32344,12602,26451,7767,46370,1409,8047,16811
2017,30779,10699,26311,7107,52359,1785,8659,12394
2018,30619,10514,26163,7276,54610,1614,10482,11502
2019,28825,9192,25070,7282,58747,2000,11961,11655
2020,21657,4098,20173,5416,58129,2050,11901,9777
2021,14622,4622,23531,7685,69240,3006,18936,13980
2022,15087,5211,24086,7701,77876,3435,24742,12962